I reviewed both transcripts and extracted only the actions/corrections related to the **scholarship project**. I excluded the lead/partner project items.

## Scholarship project — full action/correction list

| Area                                       | Action / correction suggested                                                                                                                                                            | Why / note                                                                                                                       | Source |
| ------------------------------------------ | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------- | ------ |
| **Admin authentication**                   | Integrate **Clerk / Replit auth for admin**, remove visible/test credentials.                                                                                                            | Admin area contains student data, so access must be secure and credentials must be manageable if staff changes.                  |        |
| **Student credentials**                    | Student accounts can remain admin-created, but the admin should be able to regenerate/reset student passwords. Email automation can be optional for now.                                 | Masdouk accepted manual sending of credentials, but admin auth must be stronger.                                                 |        |
| **Dashboard cleanup**                      | Remove duplicate “All period” / repeated period labels because the top filters already show year/university/period.                                                                      | Makes the dashboard less cluttered.                                                                                              |        |
| **Dashboard filters**                      | Keep the top filters; avoid repeating the same filtering context inside KPI cards.                                                                                                       | Improves readability and avoids redundancy.                                                                                      |        |
| **Students table header**                  | Remove the “Administration” title and the vertical line before “Students”.                                                                                                               | The sidebar already gives the admin context, so repeating it adds noise.                                                         |        |
| **Students table KPI**                     | Replace or remove the “Showing all” KPI/card because it is not useful.                                                                                                                   | It duplicates “Total enrolled” or does not add a clear metric.                                                                   |        |
| **Student profile access**                 | Consider adding a **“View as student”** button on the admin student profile page, but only after checking the real student profile view.                                                 | Would help admins and the team quickly see what the student sees. Masdouk paused this until the student profile is reviewed.     |        |
| **Replit deployment**                      | Recheck/fix Replit deployment errors, especially student profile loading.                                                                                                                | The deployed Replit version had issues after moving from GitHub.                                                                 |        |
| **Student profile design**                 | Redesign the student profile/admin edit view: cleaner layout, possibly tabs, better use of space.                                                                                        | Masdouk said the fields are good but the design can be much cleaner.                                                             |        |
| **Scrollbars / layout polish**             | Avoid visible inner scrollbars where possible; make the scrollbar invisible or redesign so the page feels cleaner.                                                                       | Visible scrollbars were considered visually weak for the client-facing/admin UI.                                                 |        |
| **Archive button**                         | Change the color of the **Archive** action.                                                                                                                                              | Current color was not ideal visually.                                                                                            |        |
| **Edit student profile**                   | Fix the edit profile screen: save button alignment, remove/move the “Selected university is not available” warning, remove the blue block/background issue.                              | Masdouk said this kind of misalignment should not be shown to the client.                                                        |        |
| **Design screenshots**                     | Share redesigned screenshots with Masdouk in the group before finalizing.                                                                                                                | He wants to validate if the design direction is good.                                                                            |        |
| **Student sidebar**                        | Redesign the student/admin sidebar/navigation. Combine admin + sign out area, reduce vertical space, remove unnecessary white border.                                                    | Saves vertical space and makes the sidebar cleaner.                                                                              |        |
| **Student cards**                          | Redesign the profile cards; remove/avoid the unattractive line/card structure.                                                                                                           | Masdouk liked the general direction but disliked the card visual treatment.                                                      |        |
| **Student profile fields**                 | Add/show important student profile fields: **GPA, year of study, current semester**.                                                                                                     | Masdouk noticed these were important and missing/not visible.                                                                    |        |
| **Profile layout alternative**             | Consider placing general student info and Student Journey side-by-side to reduce vertical space.                                                                                         | Could improve readability and compactness.                                                                                       |        |
| **Request detail page**                    | Remove **“Back to Request”** button because users can go back via the Requests menu.                                                                                                     | Reduces unnecessary UI elements.                                                                                                 |        |
| **Pipeline alignment**                     | Redesign/fix pipeline alignment; current steps are offset due to the split layout.                                                                                                       | The idea is good, but step alignment/buttons need to be cleaner.                                                                 |        |
| **Request action buttons**                 | Align request buttons more cleanly, likely toward the right.                                                                                                                             | Makes the request page visually cleaner.                                                                                         |        |
| **Submission form length**                 | Convert the long student submission form into a **multi-step form**, like Typeform.                                                                                                      | Especially important on mobile; one long form is too heavy.                                                                      |        |
| **Submission types / fields**              | Confirm whether there are multiple submission types. Consider fields for living expenses and emergency aid, plus well-being/financial difficulty/family/mental health/housing questions. | These were mentioned as possible needs from the client context.                                                                  |        |
| **Student dashboard**                      | Move **“Latest Submission: Paid”** beside the semester, e.g. “Fall 2026 — Latest Submission: Paid”.                                                                                      | Saves vertical space because the status already appears in the stage.                                                            |        |
| **Student password reset**                 | Re-enable student password reset.                                                                                                                                                        | Masdouk said it would be good for the student to be able to reset their own password, while admin still controls account status. |        |
| **Student uploads**                        | Add in-app preview/download for uploaded files: invoice, screenshot, academic report/bulletin.                                                                                           | Admin and student should be able to click, preview, and download directly in the app.                                            |        |
| **Admin upload access**                    | Ensure admins can also preview/download submitted invoices, screenshots, and semester reports directly from the admin interface.                                                         | Needed for reviewing requests efficiently.                                                                                       |        |
| **Internal notes**                         | Test internal notes save functionality.                                                                                                                                                  | During the walkthrough, the note save needed verification.                                                                       |        |
| **Full QA testing**                        | After deployment, ask someone else on the team, e.g. Mr. Barry, to fully test the platform.                                                                                              | A fresh tester may catch issues the developer misses.                                                                            |        |
| **Universities module**                    | Keep the Universities module simple, but make sure features/images work correctly.                                                                                                       | It is not the most critical module, so the simple design is acceptable if functional.                                            |        |
